sedalea,sedaleaname,year,fips,stateabb,multi_comp,subcat,subgroup,gap,gradecenter,tot_asmts,cellcount,mn_asmts,flag_estasmt,cs_mn_avg_ol,cs_mn_avg_ol_se,cs_mn_avg_ol_se_adj,cs_mn_avg_eb,cs_mn_avg_eb_se,cs_mn_avg_eb_se_adj,sedaleaname_cov,gslo,gshi,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesall,sesasn,sesblk,seshsp,sesnam,seswht,lninc50all,lninc50asn,lninc50blk,lninc50hsp,lninc50nam,lninc50wht,baplusall,baplusasn,baplusblk,baplushsp,baplusnam,bapluswht,povertyall,povertyasn,povertyblk,povertyhsp,povertynam,povertywht,unempall,unempasn,unempblk,unemphsp,unempnam,unempwht,snapall,snapasn,snapblk,snaphsp,snapnam,snapwht,single_momall,single_momasn,single_momblk,single_momhsp,single_momnam,single_momwht,seswhtblk,seswhthsp,seswhtasn,seswhtnam,urbanicity
500048,East Poinsett County School District,2018,5,AR,0,all,all,0,5.5,614,12,51.16666666666666,0,-0.2417661101210656,0.0435097304011826,0.0449735706471685,-0.2144648340488466,0.0310131506425428,0.0329937509438018,East Poinsett County School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0.0033333334,0.063333333,0.12666667,0.75,0.5602181,0.12916505,0.68938321,0.75895768,0.025367156,0.1682243,300,0.0083571775,0.017244518,NA,0,0.008330211,0.048245285,0.0040899138,0.0051878192,0.0071447175,0.026310401,0.0054224855,0.0062682484,0.014253248,0.031403672,NA,0,-0.88440353,NA,NA,NA,NA,-0.52226996,10.509093,NA,NA,NA,NA,10.555728,0.076570727,NA,NA,NA,NA,0.078832589,0.17860925,NA,NA,NA,NA,0.14317179,0.054477833,NA,NA,NA,NA,0.045880761,0.22634603,NA,NA,NA,NA,0.1821906,0.25609425,NA,NA,NA,NA,0.19657741,NA,NA,NA,NA,Rural
502730,Barton School District,2018,5,AR,0,all,all,0,5.5,662,12,55.16666666666666,0,-0.3462874241503409,0.0434492049598103,0.0449150178538523,-0.3490958293214882,0.0309139929919401,0.0329005630843955,Barton School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,56,0.0029761905,0.0029761905,0.020833334,0.34523809,0.62797618,0.72096455,0.08265923,0.80362374,0.9879154,0,0.12998714,336,0,0,0,0,-1.0402455e-8,-3.8015076e-9,-8.8786427e-9,-4.5260133e-9,0,0,0,0,0,0,0,0,-0.68495589,NA,-2.8659196,NA,NA,0.54460973,10.552223,NA,10.066617,NA,NA,10.889116,0.12769608,NA,0.056913577,NA,NA,0.16544782,0.13966945,NA,0.27234879,NA,NA,0.096957892,0.060218319,NA,0.15152431,NA,NA,0.0058021829,0.18527652,NA,0.32005605,NA,NA,0.089972481000000007,0.22486603,NA,0.43489176,NA,NA,0.13879594,2.8166382,NA,NA,NA,Rural
504050,Cave City School District,2018,5,AR,0,all,all,0,5.5,1114,12,92.83333333333331,0,-0.1223782585336998,0.0351128367123081,0.0369112004567377,-0.1223676061767741,0.0274387040841762,0.0296589711619192,Cave City School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,95.5,0.0034904014,0,0.043630019,0.010471204,0.93193716,0.57252222,0.14001571,0.71253794,0.77917415,0.0088638198,0.15149073,573,0,0,0,NA,-6.7371142e-10,1.0186063e-8,-1.0028813e-8,5.3099427e-9,0,0,0,0,0,0,0,NA,-0.36442479,NA,NA,NA,NA,-0.33939239,10.458439,NA,NA,NA,NA,10.479944,0.098223232,NA,NA,NA,NA,0.10022344,0.18544893,NA,NA,NA,NA,0.17043942,0.046081662,NA,NA,NA,NA,0.044474188,0.15194671,NA,NA,NA,NA,0.14917959,0.16394617,NA,NA,NA,NA,0.15292183,NA,NA,NA,NA,Rural
505170,Dermott School District,2018,5,AR,0,all,all,0,5.5,316,12,26.33333333333333,0,-0.9258129742734572,0.0633430318989189,0.0643573236494474,-0.9016507901722748,0.0362671775576592,0.037974731816872,Dermott School District,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,24.833334,0,0,0.020134227,0.95973152,0.013422819,0.98405534,0.007146731,0.99120206,1,0.0083333338,0.17222223,149,0,0,NA,NA,-4.8348959e-8,0,2.9355895e-9,NA,0,0,0,NA,0,0,NA,NA,-1.1712724,NA,-2.386317,NA,NA,0.58585781,10.318787,NA,10.051648,NA,NA,10.647163,0.10119192,NA,0.094900958,NA,NA,0.10256019,0.21731393,NA,0.34925562,NA,NA,0.097349472,0.05815943,NA,0.080812655,NA,NA,0.045418948,0.23117754,NA,0.3642047,NA,NA,0.0090109678,0.24019566,NA,0.3869102,NA,NA,0.082779862,2.6301947,NA,NA,NA,Town
505850,England School District,2018,5,AR,0,all,all,0,5.5,658,12,54.83333333333334,0,-0.5067059636493174,0.0444726503968403,0.0459057953911251,-0.4893565803901902,0.0310187742391287,0.0329990370141707,England School District,Pre-Kindergarten,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,54.666668,0.0060975607,0,0.079268292,0.36890244,0.51219511,0.71182215,0.083327711,0.79514986,0.99696046,0.036211699,0.14763232,328,0,0,0,NA,-8.9274659e-9,-8.4721954e-9,1.6547911e-8,2.0715603e-8,0,0,0,0,0,0,0,NA,-0.82197535,NA,NA,NA,NA,-0.0238526,10.595846,NA,NA,NA,NA,10.833442,0.15822923,NA,NA,NA,NA,0.21013664,0.18894903,NA,NA,NA,NA,0.13575576,0.06121698,NA,NA,NA,NA,0.047974274,0.20652601,NA,NA,NA,NA,0.14023694,0.25566933,NA,NA,NA,NA,0.16237347,NA,NA,NA,NA,Town
506360,Fouke School District,2018,5,AR,0,all,all,0,5.5,984,12,82,0,-0.2052222471947954,0.0332016811299342,0.0350981060318942,-0.1843180545585588,0.0264390386196617,0.0287366464935722,Fouke School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,80.666664,0.010330578,0.0020661156,0.016528925,0.0041322312,0.95661157,0.44962397,0.1716785,0.62130243,0.61585367,0,0.09589041,484,0,0,0,0,-7.5630835e-9,-4.4758175e-9,-3.858907e-9,-9.8464508e-9,0,0,0,0,0,0,0,0,0.39459345,NA,NA,NA,NA,0.43833438,10.624393,NA,NA,NA,NA,10.62884,0.16125897,NA,NA,NA,NA,0.15505354,0.12076384,NA,NA,NA,NA,0.11301266,0.04799604,NA,NA,NA,NA,0.045748487,0.067131497,NA,NA,NA,NA,0.067382522,0.11538849,NA,NA,NA,NA,0.098779507,NA,NA,NA,NA,Rural
507530,Hazen School District,2018,5,AR,0,all,all,0,5.5,550,12,45.83333333333334,0,-0.3717070977906241,0.047747633587746,0.0490852516587408,-0.368355109299273,0.0323454852533963,0.0342491241470822,Hazen School District,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,45.5,0,0,0.025641026,0.17948718,0.78021979,0.61180466,0.13922389,0.75102854,0.72000003,0,0.15472312,273,0,0,NA,NA,-2.5039419e-8,-7.5893407e-9,-3.293916e-9,-3.2506897e-9,0,0,0,0,0,0,NA,NA,-0.40232521,NA,NA,NA,NA,0.059973542,10.539542,NA,NA,NA,NA,10.638853,0.1766078,NA,NA,NA,NA,0.19953722,0.17769828,NA,NA,NA,NA,0.13801074,0.061868336,NA,NA,NA,NA,0.049438134,0.1167902,NA,NA,NA,NA,0.088760272,0.21136154,NA,NA,NA,NA,0.15448004,NA,NA,NA,NA,Rural
509540,Mayflower School District,2018,5,AR,0,all,all,0,5.5,932,12,77.66666666666667,0,-0.2049538733562538,0.0338051865375729,0.0356695395822874,-0.221036715680052,0.0266970034256569,0.0289741622911536,Mayflower School District,Pre-Kindergarten,12,0,0.3631579,0,0.63684213,0,0,0,0,0,0.3631579,0,0,0,0.63684213,0,0,78.833336,0.0042283298,0.0021141649,0.048625793,0.099365748,0.79704016,0.51802164,0.10502309,0.62304473,0.61802578,0.0043859649,0.14122806,473,0,0,0,0,-1.2195145e-8,-2.4814759e-10,-2.7078297e-9,-2.020905e-9,0,0,0,0,0,0,0,0,0.30902153,NA,NA,NA,NA,0.55063576,10.896067,NA,NA,NA,NA,10.969077,0.20067437,NA,NA,NA,NA,0.20871297,0.14106224,NA,NA,NA,NA,0.10739812,0.051496666,NA,NA,NA,NA,0.047529306,0.12826404,NA,NA,NA,NA,0.10585047,0.12254484,NA,NA,NA,NA,0.11154877,NA,NA,NA,NA,Rural
600036,Natomas Unified,2018,6,CA,0,all,all,0,5.5,13418,12,1118.166666666667,0,-0.2720333585546604,0.0104868797372994,0.015962615802545,-0.2685941390845918,0.0097676461051842,0.0154363151692118,Natomas Unified,Kindergarten,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1122,0.0072786692,0.20365418,0.31639928,0.16473559,0.18256091,0.44672075,0.065065324,0.51178604,0.54377604,0.15707666,0.15099904,6732,0.16146839,0.11533847,0.14411335,0.019200429,0.14960679,0.074779339,0.10990544,0.13635693,0.19441597,0.092486262,0.14468138,0.17494528,0.12217509,0.094164088,0.091766007,-0.0036453654,0.74409670000000006,1.1510072,-0.19628039,0.46912304,NA,1.1763446,11.143067,11.175877,10.98107,11.036362,NA,11.258371,0.4097597,0.54130667,0.34388369,0.26027489,NA,0.45681262,0.10712371,0.10388389,0.11418128,0.118765,NA,0.088377178,0.055352438,0.058266882,0.10324936,0.046300177,NA,0.035807569,0.090382874,0.054504436,0.13589108,0.10410549,NA,0.075683981,0.18507846,0.11564544,0.33794728,0.1862998,NA,0.13877307,1.3793498,0.71746624,0.0025960435,NA,City
606100,Browns Elementary,2018,6,CA,0,all,all,0,5.5,142,9,15.77777777777778,0,-0.3045016530742381,0.0705377343942695,0.0715569872906314,-0.2220418067132278,0.0321471870879586,0.0342974423716308,Browns Elementary,Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17.833334,0,0.028037382,0.42990655,0.0093457941,0.44859812,0.47651008,0.067114092,0.54362416,0.56862748,0.10738255,0.147651,107,0,0,NA,0,-5.3419217e-8,9.4820587e-9,4.1644128e-8,1.8579399e-9,0,0,0,0,0,0,NA,0,0.98216206,NA,NA,NA,NA,1.0101233,11.215061,NA,NA,NA,NA,11.277697,0.21431156,NA,NA,NA,NA,0.22907741,0.079798877,NA,NA,NA,NA,0.074395999,0.049437176,NA,NA,NA,NA,0.042527273,0.056550622,NA,NA,NA,NA,0.068026371,0.12392415,NA,NA,NA,NA,0.12562563,NA,NA,NA,NA,Rural
606720,Buttonwillow Union Elementary,2018,6,CA,0,all,all,0,5.5,474,12,39.5,0,-0.8514627237392156,0.0481601731932055,0.0496410388553123,-0.7957576063899049,0.0272446437889492,0.0297513618302398,Buttonwillow Union Elementary,Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,39.333332,0.0042372881,0.0042372881,0.89406782,0.012711864,0.080508478,0.54069769,0.068266094,0.60896379,0.70886075,0.65697676,0.11627907,236,0,0,0,0,-6.5596768e-9,2.3154292e-9,-1.4165955e-8,1.2026528e-8,0,0,0,0,0,0,0,0,-0.91686255,NA,NA,-1.3976023,NA,0.59942639,10.464865,NA,NA,10.29212,NA,10.883887,0.046157863,NA,NA,0.017937068,NA,0.10969512,0.22423194,NA,NA,0.32150131,NA,0.095484555,0.061073236,NA,NA,0.066339478,NA,0.036277492,0.14299519,NA,NA,0.1916934,NA,0.05264321,0.17833856,NA,NA,0.18348171,NA,0.14480869,NA,1.3701121,NA,NA,Rural
608640,Cienega Union Elementary,2018,6,CA,0,all,all,0,5.5,46,10,4.6,0,-0.3470325117550933,0.1393891482707634,0.1399077021192326,-0.2627166428889993,0.0362346651418413,0.0381552601027498,Cienega Union Elementary,Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.8333333,0,0,0.43478259,0,0.56521738,0.33333334,0.078591615,0.41192496,0.39130434,0.23333333,0.16666667,23,NA,0,NA,NA,NA,1.7782646e-9,8.3767899e-9,1.4627044e-8,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rural
609510,Columbine Elementary,2018,6,CA,0,all,all,0,5.5,240,12,20,0,0.3071691734342165,0.0610590908729295,0.0622337772826279,0.2637689777312251,0.0304562689908617,0.0327178427835767,Columbine Elementary,Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21.5,0,0.054263566,0.82945734,0.007751938,0.069767445,0.55000001,0.07,0.62,0.64999998,0.064999998,0.025,129,0,0,NA,0,0,4.9384186e-9,4.2444035e-9,-1.4639258e-8,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rural
610290,Cupertino Union,2018,6,CA,0,all,all,0,5.5,23787,12,1982.25,0,1.170165462057136,0.0122420014490619,0.0171667427345409,1.17262337333774,0.0115463447987306,0.0166189949689593,Cupertino Union,Kindergarten,12,0.95711046,0.042889547,0,0,0.19863908,0.22688845,0.53158295,0.042889547,0,0,0,0,0,0,0,0,2032.1666,9.8417129e-4,0.7481342,0.049044535,0.0067251702,0.15246452,0.056235302,0.0072770165,0.063512318,0.066863157,0.31657258,0.20367625,12193,0.015899241,0.023501171,-0.018341288,-0.020881619,0.19993795,0.065529928,0.045125745,0.065268077,0.078955442,0.072591372,0.022997152,0.038398083,0.014518327,0.02126172,-0.0043116049,-0.027384179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City
